jpeg_variant,target_size_kb,image_name,decoded_size_kb,encoded_size_kb,brisque,niqe,nima,clip
j2k,25,testimages_almonds,1767.759765625,24.2490234375,53.93572998046875,11.012410670177424,4.182523727416992,0.29451853036880493
j2k,25,testimages_apples,1489.4755859375,24.2685546875,50.47137451171875,12.39143158255156,4.393540382385254,0.7678381204605103
j2k,25,testimages_baloons,1670.666015625,24.125,59.08514404296875,12.622928360545956,4.155966281890869,0.49145570397377014
j2k,25,testimages_bananas,1616.0771484375,24.1103515625,42.43768310546875,10.147610681876433,3.984797477722168,0.7630285024642944
j2k,25,testimages_billiard_balls_a,1559.064453125,24.248046875,63.25848388671875,8.81476134884437,4.742882251739502,0.38761991262435913
j2k,25,testimages_billiard_balls_b,1600.130859375,24.2392578125,57.75115966796875,8.027931878169058,4.70903205871582,0.4118136465549469
j2k,25,testimages_building,1681.5068359375,24.2236328125,38.97332763671875,8.97190753138158,4.427741527557373,0.45075884461402893
j2k,25,testimages_cards_a,1825.5703125,24.3837890625,50.13348388671875,9.803917217952383,4.248946666717529,0.30460458993911743
j2k,25,testimages_cards_b,1638.7001953125,24.2294921875,26.21453857421875,7.815799266581528,4.620047092437744,0.29667073488235474
j2k,25,testimages_carrots,1687.63671875,24.2373046875,53.70916748046875,12.123253798670522,5.2513651847839355,0.44359293580055237
j2k,25,testimages_chairs,1386.7744140625,24.2236328125,84.04998779296875,12.081032926188449,5.626049995422363,0.6996363401412964
j2k,25,testimages_clips,1890.5205078125,24.2509765625,53.74212646484375,17.07961697528188,4.809947490692139,0.24205970764160156
j2k,25,testimages_coins,1787.494140625,24.154296875,42.17352294921875,7.5134795176993485,3.975782632827759,0.5273524522781372
j2k,25,testimages_cushions,1542.1474609375,24.20703125,39.98553466796875,7.810906069555911,4.353623390197754,0.3966229259967804
j2k,25,testimages_ducks,1557.51953125,24.2568359375,62.27166748046875,11.539347708833628,4.696056842803955,0.6305196285247803
j2k,25,testimages_fence,1586.76171875,24.2529296875,58.15985107421875,8.054517747771463,5.4058122634887695,0.3989655375480652
j2k,25,testimages_flowers,1817.28125,24.2490234375,48.30633544921875,12.141516553537281,3.829479694366455,0.5270386934280396
j2k,25,testimages_garden_table,1761.4296875,24.16796875,42.11297607421875,7.55089558785452,4.569540023803711,0.6266626119613647
j2k,25,testimages_guitar_bridge,1670.48828125,24.2548828125,49.65887451171875,8.602421681956764,4.748126983642578,0.5324231386184692
j2k,25,testimages_guitar_fret,1547.4755859375,24.02734375,47.44891357421875,8.662893391889778,4.627985954284668,0.42284220457077026
j2k,25,testimages_guitar_head,1736.3955078125,24.0927734375,49.66619873046875,8.626868088871719,4.492761611938477,0.6674512624740601
j2k,25,testimages_keyboard_a,1775.4326171875,24.197265625,20.41668701171875,11.869306629819036,4.685793399810791,0.27501505613327026
