image_id,format,target_size,file_path,brisque,niqe,nima,clip
testimages_cards_a,jpeg,25000,../imgs/jpeg_dec/25000/testimages_cards_a.png,42.81707763671875,5.512581977881543,4.349279403686523,0.3781684935092926
testimages_baloons,jpeg,25000,../imgs/jpeg_dec/25000/testimages_baloons.png,45.06903076171875,7.50636743943114,4.208506107330322,0.5724369287490845
testimages_almonds,jpeg,25000,../imgs/jpeg_dec/25000/testimages_almonds.png,42.62127685546875,5.0301489526276,4.166660785675049,0.3612394630908966
testimages_guitar_fret,jpeg,25000,../imgs/jpeg_dec/25000/testimages_guitar_fret.png,44.56610107421875,5.364653289585468,4.520199775695801,0.5617103576660156
testimages_plastic,jpeg,25000,../imgs/jpeg_dec/25000/testimages_plastic.png,24.53045654296875,5.938078219223308,5.012616157531738,0.7320656180381775
testimages_fence,jpeg,25000,../imgs/jpeg_dec/25000/testimages_fence.png,42.90155029296875,5.40795044111824,5.278622150421143,0.6353524327278137
testimages_ducks,jpeg,25000,../imgs/jpeg_dec/25000/testimages_ducks.png,46.04364013671875,7.996934617933997,4.497822284698486,0.6964870691299438
testimages_guitar_bridge,jpeg,25000,../imgs/jpeg_dec/25000/testimages_guitar_bridge.png,24.26727294921875,4.793488369309097,4.6393280029296875,0.5463701486587524
testimages_sweets,jpeg,25000,../imgs/jpeg_dec/25000/testimages_sweets.png,39.86102294921875,6.9459202141376615,4.068488597869873,0.4347385764122009
testimages_snails,jpeg,25000,../imgs/jpeg_dec/25000/testimages_snails.png,35.65057373046875,5.1403830118787,4.3463945388793945,0.4923933148384094
testimages_guitar_head,jpeg,25000,../imgs/jpeg_dec/25000/testimages_guitar_head.png,48.92889404296875,4.829418849032088,4.402913570404053,0.6521072387695312
testimages_bananas,jpeg,25000,../imgs/jpeg_dec/25000/testimages_bananas.png,28.93670654296875,5.675188667469376,4.088375568389893,0.7812466621398926
testimages_keyboard_b,jpeg,25000,../imgs/jpeg_dec/25000/testimages_keyboard_b.png,47.36981201171875,5.329225443212215,4.08192253112793,0.4843962788581848
testimages_scarf,jpeg,25000,../imgs/jpeg_dec/25000/testimages_scarf.png,62.35467529296875,7.422655150055253,4.485738277435303,0.3859315514564514
testimages_multimeter,jpeg,25000,../imgs/jpeg_dec/25000/testimages_multimeter.png,36.76434326171875,5.298285385800632,3.7751262187957764,0.5552898049354553
testimages_garden_table,jpeg,25000,../imgs/jpeg_dec/25000/testimages_garden_table.png,41.89666748046875,3.9962335882149143,4.544421672821045,0.6124748587608337
testimages_billiard_balls_b,jpeg,25000,../imgs/jpeg_dec/25000/testimages_billiard_balls_b.png,40.59832763671875,5.226577823986495,4.44484281539917,0.5033159852027893
testimages_carrots,jpeg,25000,../imgs/jpeg_dec/25000/testimages_carrots.png,35.63690185546875,5.152141286491797,5.157470703125,0.6060456037521362
testimages_pencils_b,jpeg,25000,../imgs/jpeg_dec/25000/testimages_pencils_b.png,68.36541748046875,5.32090372771683,5.410634994506836,0.6836520433425903
testimages_tools_b,jpeg,25000,../imgs/jpeg_dec/25000/testimages_tools_b.png,49.17840576171875,6.786688829034625,4.3335185050964355,0.6200132966041565
testimages_clips,jpeg,25000,../imgs/jpeg_dec/25000/testimages_clips.png,47.81536865234375,7.184177810289674,4.724250793457031,0.26482075452804565
testimages_socks,jpeg,25000,../imgs/jpeg_dec/25000/testimages_socks.png,29.02069091796875,4.4651466648374525,5.288069725036621,0.34017717838287354
testimages_screws,jpeg,25000,../imgs/jpeg_dec/25000/testimages_screws.png,52.01287841796875,6.243585415579521,4.734029293060303,0.216761514544487
testimages_building,jpeg,25000,../imgs/jpeg_dec/25000/testimages_building.png,35.19598388671875,5.4269224114845205,4.4336042404174805,0.524547278881073
testimages_coins,jpeg,25000,../imgs/jpeg_dec/25000/testimages_coins.png,40.27459716796875,4.790303309209578,4.170109748840332,0.565506100654602
